C,SETP.WORLD,CO2EII_AVAILABLE_GENERATORS,AEMO,PUBLIC,2025/12/19,11:04:19,0000000494700408,,0000000494700390
I,CO2EII,PUBLISHING,1,STATIONNAME,DUID,GENSETID,REGIONID,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,CO2E_DATA_SOURCE
D,CO2EII,PUBLISHING,1,"Appin Power Plant",APPIN,APPIN,NSW1,0.56318004,"Coal seam methane","NGA 2024"
D,CO2EII,PUBLISHING,1,"Avonlie Solar Farm",AVLSF1,AVLSF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Bango 973 Wind Farm",BANGOWF1,BANGOWF1,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Bango 999 Wind Farm",BANGOWF2,BANGOWF2,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Burrendong Hydro Power Station",BDONGHYD,BDONGHYD,NSW1,0.00000000,Hydro,ISP2024
D,CO2EII,PUBLISHING,1,"Beryl Solar Farm",BERYLSF1,BERYLSF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Broken Hill Battery Energy Storage System",BHB1,BHB1,NSW1,0.00000000,"Battery Storage",ISP2024
D,CO2EII,PUBLISHING,1,"Blowering Power Station",BLOWERNG,BLOWERNG,NSW1,0.00000000,Hydro,ISP2024
D,CO2EII,PUBLISHING,1,"Boco Rock Wind Farm",BOCORWF1,BOCORWF1,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Bodangora Wind Farm",BODWF1,BODWF1,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Bomen Solar Farm",BOMENSF1,BOMENSF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Broken Hill Solar Plant",BROKENH1,BROKENH1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Broken Hill Solar Plant",BROKENH1,BROKENH2,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Brown Mountain Hydro Power Station",BROWNMT,BROWNMT,NSW1,0.00000000,Hydro,ISP2024
D,CO2EII,PUBLISHING,1,"Burrinjuck Hydro Power Station",BURRIN,BURRIN1,NSW1,0.00000000,Hydro,ISP2024
D,CO2EII,PUBLISHING,1,"Burrinjuck Hydro Power Station",BURRIN,BURRIN2,NSW1,0.00000000,Hydro,"ISP 2020"
D,CO2EII,PUBLISHING,1,"Burrinjuck Hydro Power Station",BURRIN,BURRIN3,NSW1,0.00000000,Hydro,"ISP 2020"
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW01,BW01,NSW1,0.88920196,"Black coal",ISP2022
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW02,BW02,NSW1,0.88920196,"Black coal",ISP2022
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW03,BW03,NSW1,0.88920196,"Black coal",ISP2022
D,CO2EII,PUBLISHING,1,"Bayswater Power Station",BW04,BW04,NSW1,0.88920196,"Black coal",ISP2022
D,CO2EII,PUBLISHING,1,"Broadwater Power Station",BWTR1,BWTR1,NSW1,0.01561827,Bagasse,"NGA 2024"
D,CO2EII,PUBLISHING,1,"Capital Battery",CAPBES1,CAPBES1,NSW1,0.00000000,"Battery Storage",ISP2024
D,CO2EII,PUBLISHING,1,"Capital Wind Farm",CAPTL_WF,CAPTL_WF,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Capital East Solar Farm",CESF1,CESF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG1,CG1,NSW1,0.62544893,"Natural Gas (Pipeline)",ISP2024
D,CO2EII,PUBLISHING,1,"Colongra Power Station",CG3,CG3,NSW1,0.62544893,"Natural Gas (Pipeline)",ISP2024
D,CO2EII,PUBLISHING,1,"Coleambally Solar Farm",COLEASF1,COLEASF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Collector Wind Farm",COLWF01,COLWF01,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Collector Wind Farm",COLWF01,COLWF02,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Condong Power Station",CONDONG1,CONDONG1,NSW1,0.01561827,Bagasse,"NGA 2024"
D,CO2EII,PUBLISHING,1,"Copeton Hydro Power Station",COPTNHYD,COPTNHYD,NSW1,0.00000000,Hydro,ISP2024
D,CO2EII,PUBLISHING,1,"Crookwell 2 Wind Farm",CROOKWF2,CROOK2WL,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Crookwell 2 Wind Farm",CROOKWF2,CROOKWF2,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Crookwell 3 Wind Farm",CROOKWF3,CROOKWF3,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Crudine Ridge Wind Farm",CRURWF1,CRURWF1,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Corowa Solar Farm",CRWASF1,CRWASF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Cullerin Range Wind Farm",CULLRGWF,CULLRG01,NSW1,0.00000000,Wind,ISP2024
D,CO2EII,PUBLISHING,1,"Culcairn Solar Farm",CUSF1,CUSF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Culcairn Solar Farm",CUSF1,CUSF2,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Darlington Point Solar Farm",DARLSF1,DARLSF1,NSW1,0.00000000,Solar,ISP2024
D,CO2EII,PUBLISHING,1,"Darlington Point Energy Storage System",DPNTB1,DPNTB1,NSW1,0.00000000,"Battery Storage",ISP2024
D,CO2EII,PUBLISHING,1,"Eastern Creek LFG PS Units 1-4",EASTCRK,EASTCRK,NSW1,0.07173250,"Landfill biogas methane","NGA 2024"
D,CO2EII,PUBLISHING,1,"Eastern Creek 2 Gas Utilisation Facility",EASTCRK2,EASTCRK2,NSW1,0.07173250,"Landfill biogas methane","NGA 2024"
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER01,ER01,NSW1,0.87893798,"Black coal",ISP2024
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER02,ER02,NSW1,0.87893798,"Black coal",ISP2024
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER03,ER03,NSW1,0.87893798,"Black coal",ISP2024
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ER04,ER04,NSW1,0.87893798,"Black coal",ISP2024
D,CO2EII,PUBLISHING,1,"Eraring Battery Energy Storage System",ERB01,ERB01,NSW1,0.00000000,"Battery Storage",ISP2022
D,CO2EII,PUBLISHING,1,"ERARING POWER STATION",ERNL1,ERNL1,NSW1,0.87893798,"Black coal",ISP2024
D,CO2EII,PUBLISHING,1,"Finely Solar Farm",FINLYSF1,FINLYSF1,NSW1,0.00000000,Solar,ISP2024
