DUID,CONNECTIONPOINTID,REGIONID,STATIONID,PARTICIPANTID,TRANSMISSIONLOSSFACTOR,DISTRIBUTIONLOSSFACTOR,SCHEDULE_TYPE,MIN_RAMP_RATE_UP,MIN_RAMP_RATE_DOWN,MAX_RAMP_RATE_UP,MAX_RAMP_RATE_DOWN,VOLTLEVEL,REGISTEREDCAPACITY,AGCCAPABILITY,DISPATCHTYPE,MAXCAPACITY,STARTTYPE,NORMALLYONFLAG,PHYSICALDETAILSFLAG,SPINNINGRESERVEFLAG,INTERMITTENTFLAG,SEMISCHEDULE_FLAG,MAXRATEOFCHANGEUP,MAXRATEOFCHANGEDOWN,CO2E_EMISSIONS_FACTOR,CO2E_ENERGY_SOURCE,STATIONNAME,FUEL_TYPE
ADPMH1,SMVE9D,SA1,ADP,SAWCML,1.0037,1.0312,NON-SCHEDULED,,,0.0,0.0,11.0,1.0,N,GENERATOR,1.0,NOT DISPATCHED,,,,Y,N,0.0,0.0,0.0,Hydro,Adelaide Desalination Plant,Hydro
ADPPV1,SMVE6D,SA1,ADP,SAWCML,1.0037,1.0312,SEMI-SCHEDULED,1.0,1.0,4.0,4.0,11.0,24.0,Y,GENERATOR,19.0,SLOW,,,,Y,Y,4.0,4.0,0.0,Solar,Adelaide Desalination Plant,Solar
ADPPV2,SMVE7D,SA1,ADP,SAWCML,1.0037,1.0312,NON-SCHEDULED,,,0.0,0.0,11.0,1.0,N,GENERATOR,1.0,NOT DISPATCHED,,,,Y,N,0.0,0.0,0.0,Solar,Adelaide Desalination Plant,Solar
ADPPV3,SMVE8D,SA1,ADP,SAWCML,1.0037,1.0312,NON-SCHEDULED,,,0.0,0.0,11.0,1.0,N,GENERATOR,1.0,NOT DISPATCHED,,,,Y,N,0.0,0.0,0.0,Solar,Adelaide Desalination Plant,Solar
AGLHAL,SHPS1,SA1,AGLHAL,HALLETT,0.9663,1.0,SCHEDULED,13.0,13.0,44.0,44.0,275.0,217.0,N,GENERATOR,255.0,FAST,,,,N,N,44.0,44.0,0.64265592,Natural Gas (Pipeline),Hallett Power Station,Fossil
AGLSOM,VTTS1,VIC1,AGLSOM,SOUTHHYD,0.9965,0.9692,SCHEDULED,4.0,4.0,30.0,30.0,66.0,170.0,Y,GENERATOR,170.0,FAST,,,,N,N,30.0,30.0,0.73259474,Natural Gas (Pipeline),Somerton Power Station,Fossil
ALDGASF1,QLCS1A,QLD1,ALDGASF,ALDOGASF,0.9318,1.0,SEMI-SCHEDULED,77.0,77.0,77.0,77.0,275.0,535.0,Y,GENERATOR,387.0,SLOW,,,,Y,Y,77.0,77.0,0.0,Solar,Aldoga Solar Farm,Solar
ANGAST1,SDRN1,SA1,ANGASTON,SNOWY,1.0073,0.998,SCHEDULED,14.0,14.0,14.0,14.0,33.0,50.0,N,GENERATOR,50.0,FAST,,,,N,N,14.0,14.0,0.68575796,Diesel oil,ANGASTON POWER STATION,Fossil
APPIN,NAPP1A,NSW1,APPIN,EDLGRPOP,0.995,0.9972,NON-SCHEDULED,,,0.0,0.0,66.0,55.0,N,GENERATOR,55.0,NOT DISPATCHED,,,,N,N,0.0,0.0,0.56318004,Coal seam methane,Appin Power Plant,Fossil
ARWF1,VART1A,VIC1,ARWF,ARARATWF,0.9031,1.0,SEMI-SCHEDULED,3.0,3.0,50.0,50.0,220.0,241.0,N,GENERATOR,241.0,SLOW,,,,Y,Y,50.0,50.0,0.0,Wind,Ararat Wind Farm,Wind
AVLSF1,NNRN1A,NSW1,AVLSF,BBPEM,0.8698,1.0,SEMI-SCHEDULED,3.0,3.0,38.0,38.0,132.0,254.0,Y,GENERATOR,190.0,SLOW,,,,Y,Y,38.0,38.0,0.0,Solar,Avonlie Solar Farm,Solar
BAKING1,QCHS1C,QLD1,BAKING,BIPCHIN,0.9593,0.959,NON-SCHEDULED,,,1000.0,1000.0,33.0,17.0,N,GENERATOR,14.0,NOT DISPATCHED,,,,Y,N,1000.0,1000.0,0.0,Solar,Baking Board Solar Farm,Solar
BALDHWF1,VMWT9B,VIC1,BHWF,ALNTBHWF,0.9862,1.0109,SEMI-SCHEDULED,3.0,3.0,600.0,600.0,66.0,106.0,N,GENERATOR,106.0,SLOW,,,,Y,Y,600.0,600.0,0.0,Wind,Bald Hills Wind Farm,Wind
BANGOWF1,NBA21B,NSW1,BANGOWF,BWFTRUST,0.9226,1.0,SEMI-SCHEDULED,3.0,3.0,31.0,31.0,132.0,159.0,N,GENERATOR,155.0,SLOW,,,,Y,Y,31.0,31.0,0.0,Wind,Bango 973 Wind Farm,Wind
BANGOWF2,NBB21B,NSW1,BANGOWF2,BANGOWF2,0.9355,1.0,SEMI-SCHEDULED,2.0,2.0,17.0,17.0,132.0,84.0,N,GENERATOR,82.0,SLOW,,,,Y,Y,17.0,17.0,0.0,Wind,Bango 999 Wind Farm,Wind
BANN1,VWES1B,VIC1,BANNSP,ALNTARES,0.8986,0.9826,SEMI-SCHEDULED,2.0,2.0,18.0,18.0,66.0,100.0,N,GENERATOR,88.0,SLOW,,,,Y,Y,18.0,18.0,0.0,Solar,Bannerton Solar Park,Solar
BAPS,VDPS2,VIC1,BAPS,SOUTHHYD,0.9729,1.0,NON-SCHEDULED,,,,,220.0,13.0,N,GENERATOR,13.0,NOT DISPATCHED,,,N,Y,N,,,0.0,Hydro,Banimboola Power Station,Hydro
BARCALDN,QBCG,QLD1,BARCALDN,EEQGEN,0.9392,0.952,SCHEDULED,1.0,1.0,3.0,3.0,132.0,37.0,N,GENERATOR,37.0,FAST,,,,N,N,3.0,3.0,0.79326288,Natural Gas (Pipeline),Barcaldine Power Station,Fossil
BARCSF1,QLLV1B,QLD1,BARCSF,DIAMOND,0.941,1.0,NON-SCHEDULED,,,0.0,0.0,22.0,20.0,N,GENERATOR,20.0,NOT DISPATCHED,,,,Y,N,0.0,0.0,0.0,Solar,Barcaldine Solar Farm,Solar
BARKIPS1,SBPS1B,SA1,BARKIPS,TIPSCO,0.9996,1.0,SCHEDULED,12.0,12.0,42.0,42.0,275.0,211.0,Y,GENERATOR,210.0,FAST,,,,N,N,42.0,42.0,0.56750734,Natural Gas (Pipeline),Barker Inlet Power Station,Fossil
BARRON-1,QBGH1,QLD1,BARRON,CLEANCO,0.9569,1.0,SCHEDULED,1.0,1.0,4.0,4.0,132.0,30.0,N,GENERATOR,33.0,FAST,,,,N,N,4.0,4.0,0.0,Hydro,Barron Gorge Power Station,Hydro
BARRON-2,QBGH2,QLD1,BARRON,CLEANCO,0.9569,1.0,SCHEDULED,1.0,1.0,4.0,4.0,132.0,30.0,N,GENERATOR,33.0,FAST,,,,N,N,4.0,4.0,0.0,Hydro,Barron Gorge Power Station,Hydro
BASTYAN,TFA11,TAS1,BASTYAN,HYDROTAS,0.934,1.0,SCHEDULED,2.0,2.0,40.0,40.0,220.0,80.0,Y,GENERATOR,88.0,SLOW,,,,N,N,40.0,40.0,0.0,Hydro,Bastyan Power Station,Hydro
BBTHREE1,TBB11,TAS1,BBP31,HYDROTAS,0.9986,1.0,SCHEDULED,1.0,1.0,10.0,10.0,110.0,35.0,N,GENERATOR,49.0,FAST,,,,N,N,10.0,10.0,0.6187694,Natural Gas (Pipeline),Bell Bay Three Power Station,Fossil
